,date,Ticker,Close,High,Low,Open,Volume
0,2026-04-23,AAPL,273.18,275.52,271.4,274.8,33399600
1,2026-04-23,ABBV,200.95,202.76,200.41,201.05,7461100
2,2026-04-23,AMZN,255.08,258.79,253.07,255.39,39091400
3,2026-04-23,AVGO,419.94,429.31,417.8,422.39,19501600
4,2026-04-23,BAC,52.47,53.52,52.25,53.06,31956300
5,2026-04-23,BRK-B,470.55,473.0,466.72,466.72,4749100
6,2026-04-23,COST,1012.91,1015.13,1005.57,1006.12,1570700
7,2026-04-23,CVX,185.9,186.71,183.82,185.42,6684700
8,2026-04-23,GOOGL,338.89,341.96,336.18,341.18,18650300
9,2026-04-23,HD,340.16,340.83,336.88,339.5,2712400
10,2026-04-23,JNJ,230.65,231.39,227.03,227.25,7097600
11,2026-04-23,JPM,311.69,314.99,308.89,313.52,6969700
12,2026-04-23,LLY,916.07,928.4,910.32,927.89,2149200
13,2026-04-23,MA,502.38,509.65,498.37,507.37,2724000
14,2026-04-23,META,659.15,669.56,653.05,663.7,11667000
15,2026-04-23,MRK,114.62,115.02,113.1,113.37,6826300
16,2026-04-23,MSFT,414.85,422.74,410.52,418.98,38308000
17,2026-04-23,NVDA,199.64,203.83,197.22,202.46,113561800
18,2026-04-23,ORCL,176.28,181.89,174.08,180.4,37084200
19,2026-04-23,PG,144.62,145.14,142.33,142.33,11288800
20,2026-04-23,TSLA,373.72,386.0,368.39,375.28,93969500
21,2026-04-23,UNH,354.56,356.85,350.5,354.68,7255800
22,2026-04-23,V,308.24,311.55,304.38,309.86,7275000
23,2026-04-23,WMT,131.78,132.21,130.24,130.32,16376000
24,2026-04-23,XOM,149.52,150.21,147.5,148.84,12970400
25,2026-04-24,AAPL,270.81,272.81,269.4,272.51,38157100
26,2026-04-24,ABBV,198.71,200.25,197.14,198.93,7605800
27,2026-04-24,AMZN,263.99,264.5,257.69,259.98,53777400
28,2026-04-24,AVGO,422.76,425.0,408.86,424.98,22491100
29,2026-04-24,BAC,52.05,52.51,51.93,52.32,30265400
30,2026-04-24,BRK-B,469.32,470.28,466.58,468.8,3857000
31,2026-04-24,COST,1009.68,1011.98,1001.05,1010.53,1695200
32,2026-04-24,CVX,183.53,184.73,181.54,183.55,9626700
33,2026-04-24,GOOGL,344.4,345.27,335.39,338.73,26426100
34,2026-04-24,HD,335.89,340.27,334.68,337.88,3255900
35,2026-04-24,JNJ,227.5,229.99,227.02,229.03,6067500
36,2026-04-24,JPM,308.28,311.15,307.89,311.15,5215300
37,2026-04-24,LLY,882.44,898.87,870.23,898.46,4463700
38,2026-04-24,MA,504.17,505.61,495.63,499.0,2406900
39,2026-04-24,META,675.03,680.67,653.84,660.32,13348300
40,2026-04-24,MRK,111.9,114.03,111.5,113.74,7060000
41,2026-04-24,MSFT,423.7,424.03,414.9,416.07,27457400
42,2026-04-24,NVDA,208.27,210.95,199.81,199.96,214134400
43,2026-04-24,ORCL,173.28,180.71,168.8,180.51,33215000
44,2026-04-24,PG,148.18,152.42,147.62,152.01,13786200
45,2026-04-24,TSLA,376.3,382.76,370.73,373.5,62893300
46,2026-04-24,UNH,354.92,358.28,351.39,356.49,8554600
47,2026-04-24,V,308.78,309.34,303.87,306.46,5616900
48,2026-04-24,WMT,129.67,131.87,129.03,131.69,16016300
49,2026-04-24,XOM,147.91,149.29,145.96,148.63,13735900
50,2026-04-27,AAPL,267.36,268.11,264.83,265.85,41466800
51,2026-04-27,ABBV,197.38,201.42,196.23,198.0,7467600
52,2026-04-27,AMZN,261.12,264.15,260.34,263.46,44906800
53,2026-04-27,AVGO,418.2,422.75,414.63,420.48,17451600
54,2026-04-27,BAC,52.63,52.93,51.83,51.99,28043700
55,2026-04-27,BRK-B,472.81,475.5,469.35,469.8,4888000
56,2026-04-27,COST,996.56,1012.94,995.19,1007.17,1620400
57,2026-04-27,CVX,183.1,186.66,182.0,184.5,10836600
58,2026-04-27,GOOGL,350.34,353.18,342.73,345.98,28576900
59,2026-04-27,HD,332.3,337.38,332.14,334.48,3282900
60,2026-04-27,JNJ,225.34,227.91,224.35,225.77,7897800
61,2026-04-27,JPM,311.63,312.58,306.88,306.88,7925300
62,2026-04-27,LLY,866.78,889.67,866.55,876.62,2700300
63,2026-04-27,MA,506.43,509.05,500.76,500.76,2531300
64,2026-04-27,META,678.62,682.5,670.84,671.0,12805200
65,2026-04-27,MRK,110.23,112.75,110.14,111.22,9133600
66,2026-04-27,MSFT,423.9,426.19,416.17,421.47,30867300
67,2026-04-27,NVDA,216.61,216.83,207.38,209.65,187172400
68,2026-04-27,ORCL,172.96,173.55,167.9,172.58,21616600
69,2026-04-27,PG,148.4,149.7,147.42,147.42,9166400
